identifier,lipid,PubChem.CID,Chemical.Name,INCHIKEY,estimate,estimate1,estimate2,statistic,p.value,parameter,conf.low,conf.high,method,alternative,p.adj
2.24_760.59_2.24_782.57,PC 34:1 Isomer A,5497103,1-hexadecanoyl-2-(9Z-octadecenoyl)-sn-glycero-3-phosphocholine,WTJKGGKOPKCXLL-VYOBOKEXSA-N,0.303542408412135,18.1266228435421,17.8230804351299,3.66589968786185,0.000806815964102962,35.1769360491366,0.135476415892651,0.471608400931618,Welch Two Sample t-test,two.sided,0.0134038472598812
2.38_818.59,PC 34:1 Isomer B,6436017,1-Palmitoyl-2-oleoylphosphatidylcholine,WTJKGGKOPKCXLL-MRCUWXFGSA-N,0.302776636811654,11.6669920837636,11.3642154469519,4.34746362247747,7.63806166729046e-05,45.6141242568985,0.162557655353545,0.442995618269763,Welch Two Sample t-test,two.sided,0.0026427693368825
2.16_816.58,PC 34:2 Isomer B,5287971,Lecithin,JLPULHDHAOZNQI-ZTIMHPMXSA-N,0.294261984871248,10.2414658508117,9.94720386594041,3.27416965423369,0.00193940846971546,49.4091557981361,0.113691696341516,0.47483227340098,Welch Two Sample t-test,two.sided,0.0197363332506338
2.47_788.62,PC 36:1 Isomer A,24778825,1-Stearoyl-2-oleoyl-sn-glycero-3-phosphocholine,ATHVAWFAEPLPPQ-VRDBWYNSSA-N,0.365103890728973,15.0771217680988,14.7120178773698,3.66500452940352,0.000710550034854982,40.5016126653975,0.163844135828901,0.566363645629044,Welch Two Sample t-test,two.sided,0.0134038472598812
2.07_784.59,PC 36:3 Isomer A ,24778937,PC(18:1(9Z)/18:2(6Z,9Z)),BXRLDROZWDUSGM-ZRYFCQOPSA-N,0.540690085794129,15.8316407447933,15.2909506589992,3.00647283921991,0.0041041869705727,50.6955857277771,0.179589560507931,0.901790611080326,Welch Two Sample t-test,two.sided,0.0277549902050719
2.19_842.59,PC 36:3 Isomer AB,53478785,PC(18:2(9Z,12Z)/18:1(11Z)),YPAZQMWFRMHBBM-CLKMJQEKSA-N,0.463510110319273,9.55420708702886,9.09069697670959,3.15789344207686,0.002670047191452,50.9692471743542,0.168836137275298,0.758184083363248,Welch Two Sample t-test,two.sided,0.0215184326309132
2.06_806.57,PC 38:6 Isomer C ,52923295,PC(20:4(5Z,8Z,11Z,14Z)/18:2(9Z,12Z)),PLZBTDKJYHXIEW-DZUXOTHRSA-N,0.414036424838761,14.4444026346082,14.0303662097695,3.17400130733764,0.00266237092264596,46.6351523783468,0.151558303613541,0.67651454606398,Welch Two Sample t-test,two.sided,0.0215184326309132
1.90_888.58,PC 40:8 Isomer B,53479093,PC(20:4(8Z,11Z,14Z,17Z)/20:4(8Z,11Z,14Z,17Z)),BFCSBEFTXQRIOJ-IMYLGOOQSA-N,0.342334632311779,9.4618826432319,9.11954801092012,2.74427696814014,0.00835321793739443,50.9560675394344,0.0918934972193854,0.592775767404173,Welch Two Sample t-test,two.sided,0.0390569379234929
2.39_748.61,PC O-34:0 Isomer A,164209620,(2-Hexacosanoyloxy-3-octoxypropyl) 2-(trimethylazaniumyl)ethyl phosphate,BNIFFRNYMGLGIV-UHFFFAOYSA-N,0.329674117210887,13.630159679041,13.3004855618301,3.40121725032205,0.00137755427838228,47.0357380047165,0.134683492583,0.524664741838774,Welch Two Sample t-test,two.sided,0.0158877926773423
2.39_746.61,PC O-34:1|PC O-16:0_18:1,72730732,(3-Hexadecoxy-2-octadec-9-enoyloxypropyl) 2-(trimethylazaniumyl)ethyl phosphate,SIEDNCDNGMIKST-UHFFFAOYSA-N,0.323983916885432,15.6444995157968,15.3205155989113,3.23487978118171,0.00226444506573835,45.6935900893831,0.122349273118506,0.525618560652358,Welch Two Sample t-test,two.sided,0.0215184326309132
2.40_788.58,PC O-34:2 ,138286710,[3-[(Z)-hexadec-9-enoxy]-2-[(Z)-octadec-9-enoyl]oxypropyl] 2-(trimethylazaniumyl)ethyl phosphate,WDQJCKHLEYAETE-MGXYOJEMSA-N,0.344530173974755,8.68037706142578,8.33584688745102,2.66004138229534,0.0105404761903404,48.8188277209856,0.08422433484548,0.604836013104031,Welch Two Sample t-test,two.sided,0.0467564713058691
2.31_802.60,PC P-34:1 or PC O-34:2,53480735,1-(1-Enyl-vaccenoyl)-2-palmitoyl-sn-glycero-3-phosphocholine,MBRHHFWRXQYYAN-RTVLTNFHSA-N,0.184497176592551,8.13247916170234,7.94798198510979,2.99864331365551,0.00437055289159284,45.8514733550324,0.0606391574767625,0.308355195708339,Welch Two Sample t-test,two.sided,0.0277549902050719
2.38_768.59,PC-O 16:0_18:1 ,10771331,[(2S)-3-hexadecoxy-2-[(Z)-octadec-9-enoyl]oxypropyl] 2-(trimethylazaniumyl)ethyl phosphate,SIEDNCDNGMIKST-GUSIKBLRSA-N,0.324294860026592,13.0635279613586,12.739233101332,2.81149552068087,0.00708728126840995,48.6704146138685,0.0924586142533642,0.55613110579982,Welch Two Sample t-test,two.sided,0.0360617546892624
2.42_718.54,PE 34:0 ,6426734,Phosphatidylethanolamine 18:0-16:0,JRTZGTYHEHCHTM-UHFFFAOYSA-N,0.322333440058205,7.01460889755918,6.69227545750098,3.55627641092969,0.0009156069566681,43.9115433612175,0.139654353515188,0.505012526601223,Welch Two Sample t-test,two.sided,0.0134038472598812
2.43_716.52,PE 34:1 ,134763376,Phosphatidylethanolamine 16:0-18:1,RECBGBLFDMTQRS-SGEDCAFJSA-N,0.533221891396684,9.2353038253224,8.70208193392572,4.93936445442145,9.22445476961988e-06,49.8202661025903,0.31637143621105,0.750072346582318,Welch Two Sample t-test,two.sided,0.00079791533757212
2.44_742.54,PE 36:2 ,6437392,Dioleoyl phosphatidylethanolamine,MWRBNPKJOOWZPW-CLFAGFIQSA-N,0.370875968932753,9.52285769436994,9.15198172543719,2.75281278228004,0.00820160366054608,50.2264379101274,0.100300683002484,0.641451254863021,Welch Two Sample t-test,two.sided,0.0390569379234929
2.24_740.52,PE 36:3 ,25245362,[3-[2-aminoethoxy(hydroxy)phosphoryl]oxy-2-[(9Z,12Z)-octadeca-9,12-dienoyl]oxypropyl] (Z)-octadec-9-enoate,GKAFCSRKMWFPSJ-RQOIEFAZSA-N,0.560063725096322,8.91913456899139,8.35907084389506,3.50703098377018,0.000955183703358396,50.9820294747612,0.239455075504979,0.880672374687665,Welch Two Sample t-test,two.sided,0.0134038472598812
1.76_762.52,PE 38:7|PE 18:2_20:5 Isomer A,75957373,[1-[2-Aminoethoxy(hydroxy)phosphoryl]oxy-3-octadeca-9,12-dienoyloxypropan-2-yl] icosa-5,8,11,14,17-pentaenoate,AJTJVNKPLZTLHV-UHFFFAOYSA-N,0.43178644708782,14.2957554588423,13.8639690117544,2.99419911507605,0.00423711897155378,50.9907823051627,0.142276219198849,0.721296674976791,Welch Two Sample t-test,two.sided,0.0277549902050719
1.86_760.49,PE 38:7|PE 18:2_20:5 Isomer B,75957373,[1-[2-Aminoethoxy(hydroxy)phosphoryl]oxy-3-octadeca-9,12-dienoyloxypropan-2-yl] icosa-5,8,11,14,17-pentaenoate,AJTJVNKPLZTLHV-UHFFFAOYSA-N,0.484918862183072,10.5001150566742,10.0151961944911,3.66761200384101,0.000586156342415338,50.8269784584991,0.219461200262499,0.750376524103645,Welch Two Sample t-test,two.sided,0.0134038472598812
1.67_782.48,PE 40:10|PE 20:5_20:5,75957671,[3-[2-Aminoethoxy(hydroxy)phosphoryl]oxy-2-icosa-5,8,11,14,17-pentaenoyloxypropyl] icosa-5,8,11,14,17-pentaenoate,IHTIZXOEIOXSDI-UHFFFAOYSA-N,0.475333801837957,10.1302308498337,9.65489704799575,2.9751052945685,0.00449213714301742,50.2725612218645,0.154468585471597,0.796199018204317,Welch Two Sample t-test,two.sided,0.0277549902050719
2.40_702.54,PE O-16:1_18:1 ,138251610,[1-[2-aminoethoxy(hydroxy)phosphoryl]oxy-3-[(Z)-hexadec-9-enoxy]propan-2-yl] (Z)-octadec-9-enoate,RFPQMVKZNQOUGY-KXYOHKLBSA-N,0.331780739922229,12.2779665411447,11.9461858012225,3.51163736072541,0.000988159750991544,47.4623970593287,0.141759653262239,0.521801826582218,Welch Two Sample t-test,two.sided,0.0134038472598812
2.32_698.51,PE O-16:1_18:2 ,138252555,[1-[2-aminoethoxy(hydroxy)phosphoryl]oxy-3-[(Z)-hexadec-9-enoxy]propan-2-yl] (9Z,12Z)-octadeca-9,12-dienoate,RIQAKBUOHSSMTC-PNBIJBBKSA-N,0.28116541704957,7.39342339441478,7.11225797736521,3.15315970213296,0.00273644808023173,49.7752236351286,0.102043327470176,0.460287506628963,Welch Two Sample t-test,two.sided,0.0215184326309132
2.20_746.51,PE O-22:6_16:1 ,134777290,Phosphatidylethanolamine alkenyl 16:0-22:6,WVGALBKSWOUIEZ-ULUZTLKMSA-N,0.357763332200941,9.77557649050489,9.41781315830394,2.9068033812627,0.00539203846522211,50.9946183223813,0.11067345182777,0.604853212574112,Welch Two Sample t-test,two.sided,0.0310940884827808
1.55_865.50,PG 44:12 ,134777753,Phosphatidylglyceride 22:6-22:6,XACKZSRNTPEYBU-GZSOIYOPSA-N,0.412352049198327,6.42526101582311,6.01290896662478,3.15549027169606,0.00271233018197717,50.0102828731895,0.149879604321555,0.6748244940751,Welch Two Sample t-test,two.sided,0.0215184326309132
2.09_687.50,PMeOH 16:0_18:1 ,91844613,PMeOH 16:0_18:1,VAARQXKGNHCRDF-HNENSFHCSA-N,1.39117700736057,10.243946412689,8.85276940532848,5.22084304441431,3.7236822549048e-06,48.3451631762212,0.855510067089126,1.92684394763201,Welch Two Sample t-test,two.sided,0.00064419703009853
1.90_685.48,PMeOH 16:0_18:2 ,138240731,PMeOH 16:0_18:2,PXPCKHZLDQZOMG-DUZKARGPSA-N,1.02243786637106,8.93195601740029,7.90951815102924,4.40349746416102,6.17079119386987e-05,46.6818030281443,0.555252439920264,1.48962329282185,Welch Two Sample t-test,two.sided,0.0026427693368825
1.87_709.48,PMeOH 36:4 ,138161235,PMeOH 16:0_20:4,GLAIFIDZABIAJR-KHDVSGDZSA-N,0.799186649975987,7.78315307075429,6.9839664207783,3.41606588731589,0.00125583465295759,50.9337930196819,0.32949875766897,1.268874542283,Welch Two Sample t-test,two.sided,0.0155185282115473
2.20_757.62,SM d38:2 Isomer A,52931179,N-(11Z-eicosenoyl)-sphing-4-enine-1-phosphocholine,MDRFMTLYKHBJTF-NQYLGBTJSA-N,0.563502431416293,12.8859973543844,12.3224949229681,3.05333773443158,0.00401866298257215,39.8811159687612,0.190472403547983,0.936532459284602,Welch Two Sample t-test,two.sided,0.0277549902050719
2.33_815.63,SM d38:2 Isomer B,52931179,N-(11Z-eicosenoyl)-sphing-4-enine-1-phosphocholine,MDRFMTLYKHBJTF-NQYLGBTJSA-N,0.282399792227282,7.74328865827694,7.46088886604966,3.04922861346189,0.00365253536336714,50.3382893463194,0.0964110335357229,0.468388550918841,Welch Two Sample t-test,two.sided,0.0274734181679355
