PC,lipid,statistic,p.adj,comparison,class,targetClass,saturation,LION.0000003,LION.0000010,LION.0000031,LION.0000095,LION.0000465,LION.0012010,LION.0012080,LION.0000011,LION.0012081
1,DG 38:6,5.62273374889642,0.000135980623482621,30v5,DG,Other,Polyunsaturated,NA,NA,NA,NA,NA,13v30,NA,NA,NA
1,PC 34:2 Isomer A,6.06073934432249,4.29051750329875e-05,13v30,PC,PC,Polyunsaturated,both,13v30,NA,13v30,13v30,13v30,both,NA,NA
1,PC 34:2 Isomer A,2.59415884872503,0.0382849977768649,3v5,PC,PC,Polyunsaturated,both,13v30,NA,13v30,13v30,13v30,both,NA,NA
1,PC 34:2 Isomer A,4.23676686542984,0.000863396158708208,30v5,PC,PC,Polyunsaturated,both,13v30,NA,13v30,13v30,13v30,both,NA,NA
1,PE 38:6 Isomer B,5.8874017231427,6.65193837303689e-05,13v30,PE,PE,Polyunsaturated,both,NA,NA,13v30,NA,13v30,both,13v5,13v5
1,PE 38:6 Isomer B,5.06709152235909,0.000213886491323387,30v5,PE,PE,Polyunsaturated,both,NA,NA,13v30,NA,13v30,both,13v5,13v5
1,PC 36:4 Isomer A,5.9830273866057,3.69042922497227e-05,13v30,PC,PC,Polyunsaturated,both,13v30,NA,13v30,13v30,13v30,both,NA,NA
1,PC 36:4 Isomer A,5.03531842786494,0.000204047059475581,30v5,PC,PC,Polyunsaturated,both,13v30,NA,13v30,13v30,13v30,both,NA,NA
1,PC 36:5 Isomer B,5.63412661130065,5.95695182369919e-05,13v30,PC,PC,Polyunsaturated,both,13v30,NA,13v30,13v30,13v30,both,NA,NA
1,PC 36:5 Isomer B,6.01955443605844,4.94069161945347e-05,30v5,PC,PC,Polyunsaturated,both,13v30,NA,13v30,13v30,13v30,both,NA,NA
