metabolite	estimate	estimate1	estimate2	statistic	p.value	parameter	conf.low	conf.high	method	alternative	p.adj	PubChem	KEGG
levoglucosan	-0.580990722892412	8.12578959654294	8.70678031943535	-3.99200711484719	0.000429467570819333	27.9925760122595	-0.879116385425039	-0.282865060359786	Welch Two Sample t-test	two.sided	0.0056689719348152	2724705	C22350
malic acid	-1.11513702479443	9.08190029685254	10.197037321647	-2.90690105341364	0.00987379024598617	16.8746750443335	-1.92495654635032	-0.305317503238535	Welch Two Sample t-test	two.sided	0.0224713846977616	525	C00711
methionine	0.785716786854783	12.9358036218993	12.1500868350445	3.21149351168878	0.00330942253869251	27.9779010992132	0.284540263689536	1.28689331002003	Welch Two Sample t-test	two.sided	0.0128483463266885	6137	C00073
myo-inositol	-2.61598168731331	11.4825434005544	14.0985250878677	-6.93400524645188	3.18294523972646e-05	10.4730295549732	-3.45147017655832	-1.7804931980683	Welch Two Sample t-test	two.sided	0.00105037192910973	892	C00137
ononitol	-1.0685223182112	6.78195741092279	7.850479729134	-2.60509332394039	0.0208391053905715	13.9275597254043	-1.94867168159046	-0.188372954831947	Welch Two Sample t-test	two.sided	0.036194235678361	230881	
phenylalanine	0.657730785552539	13.2827972421093	12.6250664565567	2.91046803735627	0.00700176824649777	27.9982305431765	0.194814080310442	1.12064749079464	Welch Two Sample t-test	two.sided	0.0165041680096019	6140	C00079
phosphoinositol	-0.778015771576043	6.14166775154276	6.91968352311881	-3.32816693026897	0.00416896741958382	16.3060680857014	-1.27282487235579	-0.283206670796292	Welch Two Sample t-test	two.sided	0.0137575924846266	4449629	
phthalic acid	-1.15418397107471	10.7868569321353	11.9410409032101	-3.56165476446314	0.00160746477516034	23.6491334951684	-1.82353303642702	-0.4848349057224	Welch Two Sample t-test	two.sided	0.0113248221203574	1017	C01606
pinitol	-1.19346377513301	8.47623294060261	9.66969671573562	-2.87317627701633	0.0127474224908596	13.3803327159803	-2.08825452028523	-0.298673029980795	Welch Two Sample t-test	two.sided	0.0271396736902173	164619	
putrescine	-1.43178612754932	9.34962533174991	10.7814114592992	-3.83531002130395	0.00217339549609466	12.6180310334874	-2.24077712066141	-0.622795134437226	Welch Two Sample t-test	two.sided	0.0113351994922639	1045	C00134
pyrophosphate 	-0.803604773931228	11.9263633300644	12.7299681039956	-2.81051121063242	0.0137332038684775	14.2065712417128	-1.41602453552476	-0.1911850123377	Welch Two Sample t-test	two.sided	0.0283247329787348	1023	C00013
ribose-5-phosphate	-1.03471519913453	6.3599779514659	7.39469315060044	-3.68798442903431	0.00227311006056518	14.6443572263054	-1.6339903222929	-0.435440075976164	Welch Two Sample t-test	two.sided	0.0113351994922639	77982	
serine	-0.868296407780017	12.2779511078347	13.1462475156147	-2.63318054823173	0.0196175385515166	14.050858804591	-1.57530389853094	-0.161288917029097	Welch Two Sample t-test	two.sided	0.0349934471459485	5951	C00065
spermidine 	-0.769386879750808	8.5671698445143	9.33655672426511	-3.27827479985553	0.00395962018826493	18.9735784014211	-1.26065046674267	-0.278123292758946	Welch Two Sample t-test	two.sided	0.0137544701276571	1102	C00315
stearic acid	-0.825081232829422	12.3984359480288	13.2235171808583	-2.54925382950996	0.0222793580684487	14.9433557875257	-1.51516543854095	-0.134997027117894	Welch Two Sample t-test	two.sided	0.0377035290389132	5281	C01530
terephthalic acid	-0.840572658526153	8.1616122502015	9.00218490872765	-4.84758813162855	7.0843344490837e-05	22.6437193448939	-1.19959082113705	-0.481554495915256	Welch Two Sample t-test	two.sided	0.00155855357879841	22416364	C06337
trans-4-hydroxyproline 	-0.599307353696277	11.5392694433019	12.1385767969982	-2.40926403772548	0.0295723826146583	14.7121784817521	-1.1304128667417	-0.0682018406508512	Welch Two Sample t-test	two.sided	0.0476043232333524	5810	C01157
triethanolamine	-0.774235720523435	6.80208839335843	7.57632411388186	-2.75641821671035	0.0154177195198066	14.0385229093534	-1.37651844414521	-0.171952996901659	Welch Two Sample t-test	two.sided	0.0295548648965507	7618	C06771
tryptophan 	1.79317086137998	12.4079943185008	10.6148234571209	3.24589669610345	0.00460127860097678	17.5512035053509	0.630401523299242	2.95594019946072	Welch Two Sample t-test	two.sided	0.0138455212436746	6305	C00078
urea	-0.897473101773008	10.2815819174666	11.1790550192396	-3.33842482312943	0.00464937324483973	14.5651077711692	-1.4719672065327	-0.322978997013315	Welch Two Sample t-test	two.sided	0.0138455212436746	1176	C00086
valine 	0.672498872884102	12.6722981504472	11.9997992775631	2.68714999881112	0.0150521012896029	18.009362726218	0.146731775291309	1.1982659704769	Welch Two Sample t-test	two.sided	0.0295548648965507	6287	C00183
xylitol	-0.478273257638652	6.11779801623452	6.59607127387318	-3.55185048171882	0.00172365862117035	22.7068179896919	-0.757026815386352	-0.199519699890952	Welch Two Sample t-test	two.sided	0.0113248221203574	6912	C00379
