lipid,class,targetClass,saturation,statistic.13v30,statistic.13v5,padj.13v30,padj.13v5,LION.0000003,LION.0000010,LION.0000031,LION.0000095,LION.0000465,LION.0012010,LION.0012080,LION.0000011,LION.0012081,LION.0000032.PhysModule3,LION.0001734.PhysModule3,LION.0001740.PhysModule3,LION.0012010.PhysModule3,LION.0080971.PhysModule3,LION.0080974.PhysModule3,LION.0080981.PhysModule3,LION.0000003.PhysModule5,LION.0000010.PhysModule5,LION.0000030.PhysModule5,LION.0000095.PhysModule5,LION.0000465.PhysModule5,LION.0012080.PhysModule5,LION.0000004.PhysModule6,LION.0000084.PhysModule6,LION.0000095.PhysModule6,LION.0001740.PhysModule6,LION.0012010.PhysModule6,LION.0012082.PhysModule6,LION.0012086.PhysModule6,LION.0000607.PhysModule9,LION.0000004.PhysModule15,LION.0000464.PhysModule15,LION.0012009.PhysModule15,LION.0012082.PhysModule15,LION.0012441.PhysModule15
PC P-36:1 or PC O-36:2,PC,PC,Monounsaturated,-6.5247235320765,2.60518617690952,0.0430798393438284,0.0373888626333909,both,13v30,NA,13v30,13v30,13v30,both,NA,NA,x,x,,x,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PC P-36:2 or PC O-36:3,PC,PC,Polyunsaturated,-4.59080327655698,NA,0.000427728684836132,NA,both,13v30,NA,13v30,13v30,13v30,both,NA,NA,x,x,,x,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PC-O 16:0_18:1,PC-O,Other,Monounsaturated,NA,2.81149552068087,NA,0.0263461977586544,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PE 34:0,PE,PE,Saturated,NA,3.55627641092969,NA,0.00993972455409141,both,NA,NA,13v30,NA,13v30,both,13v5,13v5,,,x,x,x,x,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PE 34:1,PE,PE,Monounsaturated,NA,4.93936445442145,NA,0.0007886908828025,both,NA,NA,13v30,NA,13v30,both,13v5,13v5,,,x,x,x,x,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PE 36:1,PE,PE,Monounsaturated,-2.22677134704987,4.32596001964087,0.0421855110144608,0.00223280065614986,both,NA,NA,13v30,NA,13v30,both,13v5,13v5,,,x,x,x,x,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PE O-16:1_18:1,PE,PE,Polyunsaturated,-4.98853773036308,3.51163736072541,0.000330808432661318,0.00993972455409141,both,NA,NA,13v30,NA,13v30,both,13v5,13v5,,,,x,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PE O-16:1_18:2,PE,PE,Polyunsaturated,NA,3.15315970213296,NA,0.0155977540573209,both,NA,NA,13v30,NA,13v30,both,13v5,13v5,,,,x,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PE O-36:1,PE,PE,Monounsaturated,NA,3.57090189345943,NA,0.00993972455409141,both,NA,NA,13v30,NA,13v30,both,13v5,13v5,,,,x,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PE P-34:1 or PE O-34:2,PE,PE,Monounsaturated,-4.47383136738147,3.07787540031318,0.000662825613297581,0.0185552864100391,both,NA,NA,13v30,NA,13v30,both,13v5,13v5,,x,,x,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PE P-36:1 or PE O-36:2,PE,PE,Monounsaturated,-4.83586899959008,3.90799318844652,0.000411640911233097,0.00527801097969978,both,NA,NA,13v30,NA,13v30,both,13v5,13v5,,x,,x,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PS 34:1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,x,,,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PS 36:1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,x,x,x,x,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PS 36:2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,x,,,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Phosphatidylethanolamine alkenyl 18:0-18:2,PE,PE,Polyunsaturated,-2.25297469936101,3.06054370384247,0.0408973770662504,0.018805950643678,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SM d36:0,SM,Other,Saturated,-5.65701814436963,NA,6.96941115658125e-05,NA,NA,NA,NA,13v30,NA,13v30,NA,NA,NA,,,x,x,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SM d36:1 Isomer B,SM,Other,Monounsaturated,-3.17527192327962,NA,0.00544388121856938,NA,NA,NA,NA,13v30,NA,13v30,NA,NA,NA,,,,x,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SM d37:1,SM,Other,Monounsaturated,-2.47124478624566,NA,0.0244807852201224,NA,NA,NA,NA,13v30,NA,13v30,NA,NA,NA,,,x,x,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SM d38:1,SM,Other,Monounsaturated,-3.86213434761315,NA,0.00142736268824094,NA,NA,NA,NA,13v30,NA,13v30,NA,NA,NA,,,x,x,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SM d41:2 Isomer A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,x,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GlcADG 37:3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LNAPE 20:4_N-19:1,LNAPE,Other,Polyunsaturated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LPC 32:1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,x,x,,x,,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PC 31:0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,x,x,x,x,x,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PC 31:1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,x,x,x,x,x,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PC 33:1 Isomer A,PC,PC,Monounsaturated,NA,NA,NA,NA,both,13v30,NA,13v30,13v30,13v30,both,NA,NA,NA,NA,NA,NA,NA,NA,NA,x,x,x,x,x,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PC 33:1 Isomer B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,x,x,x,x,x,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PC 33:2 Isomer B,PC,PC,Polyunsaturated,NA,NA,NA,NA,both,13v30,NA,13v30,13v30,13v30,both,NA,NA,NA,NA,NA,NA,NA,NA,NA,x,x,x,x,x,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PC 35:1 Isomer A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,x,x,x,x,x,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PC 35:1 Isomer B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,x,x,x,x,x,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PC 35:2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,x,x,x,x,x,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PC 35:2 Isomer B,PC,PC,Polyunsaturated,NA,NA,NA,NA,both,13v30,NA,13v30,13v30,13v30,both,NA,NA,NA,NA,NA,NA,NA,NA,NA,x,x,x,x,x,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PC 35:3,PC,PC,Polyunsaturated,NA,NA,NA,NA,both,13v30,NA,13v30,13v30,13v30,both,NA,NA,NA,NA,NA,NA,NA,NA,NA,x,x,x,x,x,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PC 35:4 Isomer A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,x,x,x,x,x,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PC 35:4 Isomer B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,x,x,x,x,x,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PC 37:2 Isomer A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,x,x,x,x,x,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PC 37:2 Isomer B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,x,x,x,x,x,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PC 37:3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,x,x,x,x,x,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PC 37:4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,x,x,x,x,x,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PC 39:5 Isomer B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,x,x,x,x,x,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PC O-16:0_20:4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,x,x,,x,x,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PE 37:5|PE 17:0_20:5,PE,PE,Polyunsaturated,NA,NA,NA,NA,both,NA,NA,13v30,NA,13v30,both,13v5,13v5,NA,NA,NA,NA,NA,NA,NA,x,,,x,,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TG 42:0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HexCer 32:0;O2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,x,,,,x,,,NA,NA,NA,NA,NA,NA
PC 16:0_14:0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,x,x,x,,,NA,NA,NA,NA,NA,NA
PC 32:0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,x,x,x,,,NA,NA,NA,NA,NA,NA
PC 34:0,PC,PC,Saturated,NA,NA,NA,NA,both,13v30,NA,13v30,13v30,13v30,both,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,x,x,x,,,NA,NA,NA,NA,NA,NA
PC O-31:0,PC,PC,Saturated,NA,NA,NA,NA,both,13v30,13v30,13v30,13v30,13v30,both,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,x,,x,,,NA,NA,NA,NA,NA,NA
PC O-31:0|PC O-15:0_16:0,PC,PC,Saturated,NA,NA,NA,NA,both,13v30,13v30,13v30,13v30,13v30,both,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,x,,x,,,NA,NA,NA,NA,NA,NA
PC O-32:0,PC,PC,Saturated,NA,NA,NA,NA,both,13v30,13v30,13v30,13v30,13v30,both,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,x,,x,,,NA,NA,NA,NA,NA,NA
PC O-33:0,PC,PC,Saturated,NA,NA,NA,NA,both,13v30,13v30,13v30,13v30,13v30,both,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,x,,x,,,NA,NA,NA,NA,NA,NA
PE 18:0_22:3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,x,x,x,,,NA,NA,NA,NA,NA,NA
SM d30:1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,x,x,x,,x,x,x,NA,NA,NA,NA,NA,NA
SM d31:1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,x,x,x,,x,x,x,NA,NA,NA,NA,NA,NA
SM d32:0,SM,Other,Saturated,NA,NA,NA,NA,NA,NA,NA,13v30,NA,13v30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,x,x,x,x,x,x,x,NA,NA,NA,NA,NA,NA
SM d32:0 Isomer B,SM,Other,Saturated,NA,NA,NA,NA,NA,NA,NA,13v30,NA,13v30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,x,x,x,,x,x,x,NA,NA,NA,NA,NA,NA
SM d32:1 Isomer A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,x,x,x,,x,x,x,NA,NA,NA,NA,NA,NA
SM d32:1 Isomer B,SM,Other,Monounsaturated,NA,NA,NA,NA,NA,NA,NA,13v30,NA,13v30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,x,x,x,,x,x,x,NA,NA,NA,NA,NA,NA
SM d32:2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,x,x,x,,x,x,x,NA,NA,NA,NA,NA,NA
SM d33:1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,x,x,x,,x,x,x,NA,NA,NA,NA,NA,NA
SM d34:0,SM,Other,Saturated,NA,NA,NA,NA,NA,NA,NA,13v30,NA,13v30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,x,x,x,x,x,x,x,NA,NA,NA,NA,NA,NA
SM d34:1 Isomer A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,x,x,x,,x,x,x,NA,NA,NA,NA,NA,NA
SM d34:1 Isomer B,SM,Other,Monounsaturated,NA,NA,NA,NA,NA,NA,NA,13v30,NA,13v30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,x,x,x,,x,x,x,NA,NA,NA,NA,NA,NA
SM d35:2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,x,x,x,,x,x,x,NA,NA,NA,NA,NA,NA
SM d36:4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,x,x,x,,x,x,x,NA,NA,NA,NA,NA,NA
DG 36:5,DG,Other,Polyunsaturated,4.40117978577785,NA,0.000662825613297581,NA,NA,NA,NA,NA,NA,13v30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,x,NA,NA,NA,NA,NA
DG 38:5,DG,Other,Polyunsaturated,3.0665028227816,NA,0.00829673511327912,NA,NA,NA,NA,NA,NA,13v30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,x,NA,NA,NA,NA,NA
DG 38:6,DG,Other,Polyunsaturated,5.45449163533858,NA,0.000108298771565882,NA,NA,NA,NA,NA,NA,13v30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,x,NA,NA,NA,NA,NA
NAE 4:0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
PC 14:0_16:1,PC,PC,Monounsaturated,NA,-2.66961019302289,NA,0.0336805929625913,both,13v30,NA,13v30,13v30,13v30,both,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
PC 32:1 Isomer A,PC,PC,Monounsaturated,4.91378363541365,NA,0.000362581481564942,NA,both,13v30,NA,13v30,13v30,13v30,both,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
PC 32:1 Isomer B,PC,PC,Monounsaturated,4.38982835981973,NA,0.000662825613297581,NA,both,13v30,NA,13v30,13v30,13v30,both,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
PC 32:2 Isomer A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
PC 32:2 Isomer B,PC,PC,Polyunsaturated,3.21919500132542,NA,0.00531020176254053,NA,both,13v30,NA,13v30,13v30,13v30,both,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
PE 16:0_16::1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
PE 16:1_18:1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
Cer 32:1;2O|Cer 14:1;O2/18:0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,x,x,x,x,x
Cer 34:1;O2|Cer 14:1;O2/20:0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,x,x,x,x,x
Cer d32:1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,x,x,x,x,x
