INCHIKEY,Chemical.Name,PubChem.CID,Lipid,identifier,lipid
MBRHHFWRXQYYAN-JEPFLRBFSA-N,1-(1Z,11Z-octadecadienyl)-2-hexadecanoyl-sn-glycero-3-phosphocholine,70698781,369,2.17_744.59,PC P-34:1 or PC O-34:2 
ZYLPVUZBZNMVMR-ZBBHDILGSA-N,PC(O-16:0/20:2(11Z,14Z)),52923754,370,2.42_772.62,PC P-36:1 or PC O-36:2
ZYLPVUZBZNMVMR-ZBBHDILGSA-N,PC(O-16:0/20:2(11Z,14Z)),52923754,371,2.59_772.62,PC P-36:1 or PC O-36:2
ZOTYCHIFTCFAHC-KOUVQCMKSA-N,1-(1Z,9Z-octadecadienyl)-2-octadecanoyl-sn-glycero-3-phosphocholine,53480797,372,2.58_830.63,PC P-36:1 or PC O-36:2 
DIHWZUCEXWUHOD-IIVNATNGSA-N,PC(P-18:1(9Z)/18:1(9Z)),53480801,373,2.36_770.61,PC P-36:2 or PC O-36:3 
SIEDNCDNGMIKST-GUSIKBLRSA-N,[(2S)-3-hexadecoxy-2-[(Z)-octadec-9-enoyl]oxypropyl] 2-(trimethylazaniumyl)ethyl phosphate,10771331,389,2.38_768.59,PC-O 16:0_18:1 
JRTZGTYHEHCHTM-UHFFFAOYSA-N,Phosphatidylethanolamine 18:0-16:0,6426734,394,2.42_718.54,PE 34:0 
RECBGBLFDMTQRS-SGEDCAFJSA-N,Phosphatidylethanolamine 16:0-18:1,134763376,395,2.43_716.52,PE 34:1 
JQKOHRZNEOQNJE-ZZEZOPTASA-N,2-azaniumylethyl [3-octadecanoyloxy-2-[(Z)-octadec-9-enoyl]oxypropyl] phosphate,25244969,397,2.67_744.55,PE 36:1 
RFPQMVKZNQOUGY-KXYOHKLBSA-N,[1-[2-aminoethoxy(hydroxy)phosphoryl]oxy-3-[(Z)-hexadec-9-enoxy]propan-2-yl] (Z)-octadec-9-enoate,138251610,418,2.40_702.54,PE O-16:1_18:1 
RIQAKBUOHSSMTC-PNBIJBBKSA-N,[1-[2-aminoethoxy(hydroxy)phosphoryl]oxy-3-[(Z)-hexadec-9-enoxy]propan-2-yl] (9Z,12Z)-octadeca-9,12-dienoate,138252555,419,2.32_698.51,PE O-16:1_18:2 
CEVVUBCHWNKKNN-VDLQPGGRSA-N,1-octadecyl-2-(9Z-octadecenoyl)-glycero-3-phosphoethanolamine,52924982,426,2.54_730.57,PE O-36:1 
ZOSSFCIAXYNTHL-CSTBBDSDSA-N,1-(1-Enyl-oleoyl)-2-palmitoyl-sn-glycero-3-phosphoethanolamine,53480893,435,2.54_700.53,PE P-34:1 or PE O-34:2 
OBAAWAYLQLYWNN-KHFVPPDWSA-N,1-(1-Enyl-oleoyl)-2-stearoyl-sn-glycero-3-phosphoethanolamine,53480895,436,2.79_728.56,PE P-36:1 or PE O-36:2
QBAQUPWJTLVJBD-CZAAGYDRSA-N,Phosphatidylethanolamine alkenyl 18:0-18:2,134760121,459,2.56_726.54,Phosphatidylethanolamine alkenyl 18:0-18:2 
BWQAJZLCZFRDSD-UHFFFAOYSA-N,2-Amino-3-[(2-hexadec-9-enoyloxy-3-octadecanoyloxypropoxy)-hydroxyphosphoryl]oxypropanoic acid,75958912,488,2.03_760.51,PS 34:1 
AJFWREUFUPEYII-UHFFFAOYSA-N,2-Amino-3-[hydroxy-(3-octadecanoyloxy-2-octadec-9-enoyloxypropoxy)phosphoryl]oxypropanoic acid,72367181,489,2.21_788.54,PS 36:1 
WTBFLCSPLLEDEM-UHFFFAOYSA-N,Phosphatidylserine (bovine),3451126,490,2.04_786.53,PS 36:2 
JCELSEVNSMXGKA-IOLBBIBUSA-N,N-(octadecanoyl)-sphinganine-1-phosphocholine,44260130,521,2.42_791.63,SM d36:0 
LKQLRGMMMAHREN-YJFXYUILSA-N,Sphingomyelin (D18:1/18:0),6453725,523,2.35_789.61,SM d36:1 Isomer B
HAFQHLHNPJDAGB-MAJDXUCPSA-N,N-(nonadecanoyl)-sphing-4-enine-1-phosphocholine,52931171,527,2.48_803.62,SM d37:1 
AADLTHQNYQJHQV-SVLGDMRNSA-N,C20 Sphingomyelin,44260124,528,2.60_817.64,SM d38:1 
MDRFMTLYKHBJTF-NQYLGBTJSA-N,N-(11Z-eicosenoyl)-sphing-4-enine-1-phosphocholine,52931179,530,2.33_815.63,SM d38:2 Isomer B
JBDGKEXQKCCQFK-JWQIMADESA-N,N-(tricosanoyl)-4E,14Z-sphingadienine-1-phosphocholine,52931209,533,2.73_857.67,SM d41:2 Isomer A 
