date,treatment-tank,trial-1,trial-2,trial-3,sex,integument-color,carapace-width,carapace-length,weight,number-legs,probe-number,sampling-ID,notes
7/15/22,1,1.03,1.03,0.75,F,O,38,29,13.73,10,,,
7/15/22,1,1.22,1.04,0.75,M,YG,46,38,23.83,10,,,
7/15/22,1,0.65,1.62,1.81,F,O,42,35,18.08,10,,,Carrying eggs
7/15/22,1,1.12,0.91,0.75,F,BG,43,34,17.07,10,,,indented abdomen
7/15/22,2,4.53,4.87,8.19,F,BG,50,41,26.68,8,,,- 2 swim / Ghost shape
7/15/22,2,2.53,5.28,3.93,M,YG,50,44,35.08,8,,,-1 swim / -1 leg
7/15/22,2,1.41,2,1.1,F,YO,43,35,17.36,10,,,
7/15/22,2,91,91,91,M,YG,50,39,25.83,10,,,
7/15/22,2,1.84,1.03,1.1,F,YO,42,35,17.97,10,,,
7/15/22,2,1.6,2.12,3.31,M,Y,49,39,30.42,10,,,
7/15/22,2,4.56,4.06,2.99,M,G,43,34,19.98,10,,,-1 swimmer
7/15/22,3,0.73,0.53,0.76,M,Y,48,38,21.6,9,,,-1 claw
7/15/22,3,0.78,0.72,1.12,M,Y,53,42,35.63,10,,,
7/15/22,3,0.66,0.87,0.78,M,O,51,40,27.38,10,,,
7/15/22,3,0.37,0.53,0.75,F,O,42,35,17.2,10,,,
7/15/22,3,0.7,0.94,0.91,F,YO,39,31,13.17,10,,,
7/15/22,3,0.59,0.63,0.94,F,O,40,31,13.3,10,,,
7/15/22,3,0.71,0.59,0.5,F,O,41,35,16.9,10,,,
7/15/22,4,1.03,1.12,0.78,M,Y,39,31,13,8,,,- 1 claw / - 1 leg
7/15/22,4,1.18,1.03,1.09,F,O,45,37,21.28,10,,,
7/15/22,4,1.12,1.31,1.25,M,YG,42,34,16.38,9,,,- 1 leg
7/15/22,4,1.88,1.28,1.32,M,Y,40,34,16.53,10,,,
7/15/22,4,0.9,0.99,1.1,F,YG,39,31,1.33,10,,,
7/15/22,4,1.28,2.04,1.38,M,Y,49,38,28.05,10,,,
7/15/22,4,1.25,0.88,0.72,M,YO,48,39,29.63,10,,,
7/15/22,5,5.07,5.31,4.15,M,YG,52,41,35.55,9,,,- 1 swim
7/15/22,5,1.14,3.25,5.25,M,YG,55,43,38.48,10,,,
7/15/22,5,5.31,4.81,5.06,M,G,58,50,49.34,10,,,
7/15/22,5,1.72,1.23,1.06,F,BG,42,32,14.53,10,,,
7/15/22,5,11.99,16.88,18.75,M,Y,42,34,16.47,10,,,
7/15/22,5,0.06,0.06,0.06,M,Y,43,35,18.72,7,,, - 2 swim / -1 leg
7/15/22,5,1.25,1.75,1.94,F,YO,44,38,27.61,10,,,
7/15/22,6,0.68,0.75,0.78,M,YG,43,37,18.93,9,,,-1 claw
7/15/22,6,1,0.81,1,F,O,42,36,17.89,10,,,
7/15/22,6,0.97,1.09,0.79,M,Y,51,40,28.4,10,,,
7/15/22,6,0.88,0.81,0.88,F,YG,46,36,18.81,10,,,
7/15/22,6,0.75,0.59,0.78,M,Y,44,36,19.57,10,,,
7/15/22,6,0.53,0.69,0.63,F,YG,40,33,14.64,10,,,
7/15/22,6,0.5,0.56,0.68,M,Y,40,32,13.67,10,,,
7/19/22,1,0.75,0.78,0.93,F,O,42,35,18.06,10,,,
7/19/22,1,1.78,1.16,1.1,M,Y,47,38,23.36,9,,,- 1 claw
7/19/22,1,0.91,0.88,0.72,F,BG,43,34,16.97,10,,,
7/19/22,1,0.72,0.87,0.75,M,Y,50,39,29.32,10,1,,Indented Abdomen
7/19/22,1,1.09,1.08,1.35,F,YG,46,37,21.4,10,2,,
7/19/22,1,1.1,1,0.97,M,YG,46,37,23.58,10,,,
7/19/22,1,3.06,0.78,1.05,M,YG,50,40,31.17,10,3,,
7/19/22,2,2.78,4.5,3.63,M,Y,49,39,30.84,10,,,
7/19/22,2,4.97,7.19,11.03,F,BG,48,40,26.28,10,1,,
7/19/22,2,14.45,24.57,20.35,M,Y,44,36,20.88,8,2,,- 2 swim
7/19/22,2,12,12.37,9.58,F,YO,43,35,17.41,10,,,
7/19/22,2,1.47,3,3.25,M,YG,47,36,22.46,10,3,,
7/19/22,2,12.96,5.22,13.81,M,Y,53,43,35.28,9,,,- 1 swim
7/19/22,2,9.19,8.97,9.4,M,BG,43,34,19.3,10,,,
7/19/22,3,0.5,1.1,0.5,M,Y,52,42,33.83,9,1,,- 1 leg
7/19/22,3,0.59,0.53,0.53,M,Y,53,44,35.24,10,,,
7/19/22,3,0.69,0.82,0.78,F,O,42,36,17.05,10,2,,
7/19/22,3,0.85,0.72,1.06,F,O,39,32,13.2,10,,,
7/19/22,3,0.82,0.84,1.32,F,YO,39,32,13.11,10,,,
7/19/22,3,0.78,0.43,0.69,M,O,50,40,27.02,10,,,
7/19/22,3,0.53,0.82,0.65,M,YG,46,39,21.15,9,3,,- 1 claw
7/19/22,4,0.82,0.91,0.84,F,O,46,38,21.35,10,1,,
7/19/22,4,0.78,2,2.06,M,Y,50,39,25.59,10,2,,
7/19/22,4,1.13,1.28,1.4,M,Y,47,37,25.65,10,3,,
7/19/22,4,0.5,0.6,0.44,M,Y,43,33,16.56,10,,,
7/19/22,4,0.87,0.66,0.68,M,Y,40,32,12.76,9,,,-1 leg
7/19/22,4,1.35,0.5,0.84,F,O,41,33,16.62,10,,,
7/19/22,4,1.13,0.97,0.66,F,YO,37,31,12.25,10,,,
7/19/22,5,3.72,3.03,6.75,M,YG,52,42,32.8,10,1,,
7/19/22,5,13.18,4.75,7.06,M,YG,45,37,22.89,10,2,,
7/19/22,5,5.6,8.31,8.56,M,YG,58,48,49.46,10,,,
7/19/22,5,72.81,91,91,M,YG,43,36,18.63,7,,,- 2 swim/ -1 leg
7/19/22,5,13,6.75,21.16,M,YG,38,31,12.91,10,,,
7/19/22,5,2.06,1.13,15.56,F,G,39,31,14.45,10,,,
7/19/22,5,1.75,2.31,1.19,F,YO,44,38,21.27,9,3,,- 1 leg
7/19/22,6,0.47,0.37,0.81,M,Y,44,36,19.66,10,1,,
7/19/22,6,1.1,1.59,72.37,M,YG,50,40,28.39,10,2,,
7/19/22,6,0.41,0.41,0.28,M,YG,39,32,13.56,10,,,
7/19/22,6,0.91,2.47,0.75,M,Y,44,38,19.07,9,,,- 1 claw
7/19/22,6,1,0.57,1.13,F,YG,45,36,18.67,10,3,,malformed claw
7/19/22,6,0.71,1,0.94,F,YG,40,34,14.48,10,,,
7/19/22,6,0.88,1.16,1.25,F,O,44,36,17.8,10,,,
7/22/22,1,0.68,0.66,0.68,F,G,41,31,14.12,10,,,
7/22/22,1,0.59,1.28,1.44,M,G,48,39,23.63,10,,,
7/22/22,1,1.57,1.53,1.32,M,YG,51,40,31.59,10,,,
7/22/22,1,0.66,0.53,0.53,F,Y,40,31,13.46,10,,,
7/22/22,1,0.88,0.75,1.16,F,YO,46,37,21.43,10,,,
7/22/22,1,1.06,0.88,0.9,F,BG,43,34,17.13,10,,,
7/22/22,1,0.85,0.81,1.25,M,Y,44,34,18.48,10,,,
7/22/22,2,14.35,2.25,14.96,M,Y,44,36,20.2,10,,,
7/22/22,2,1.47,9.56,3.5,F,YG,38,31,12.56,8,,,"-1 swimmer, -1 leg"
7/22/22,2,4.57,6.82,7.35,M,Y,48,40,29.44,10,,,
7/22/22,2,11.62,11.13,7.6,M,Y,51,42,35.03,8,,,"-1 swimmer, -1 leg"
7/22/22,2,6.37,8.35,6,F,BG,49,41,26.23,10,,,
7/22/22,2,7.29,15.56,13.13,F,YO,43,35,18.03,10,,,
7/22/22,2,3.06,1.43,2.5,M,YG,48,38,24.48,10,,,
7/22/22,3,0.57,0.81,0.87,M,Y,53,42,35.37,10,,,
7/22/22,3,0.81,0.75,0.59,M,O,50,40,27.48,10,,,
7/22/22,3,0.81,0.87,0.9,M,YG,47,39,21.1,9,,,-1 claw
7/22/22,3,0.84,0.72,1.1,F,O,40,31,13.29,10,,,
7/22/22,3,1.91,1.97,0.88,F,YO,40,31,12.93,10,,,
7/22/22,3,0.78,0.69,1.1,F,O,43,35,17.11,10,,,
7/22/22,4,1.56,1.47,1.03,F,O,42,33,16.23,10,,,
7/22/22,4,0.81,0.72,0.72,M,Y,41,33,16.5,10,,,
7/22/22,4,0.5,1.25,1.5,M,Y,43,34,16.57,10,,,
7/22/22,4,2.38,4.28,2.04,M,YG,47,40,25.81,10,,,grabby
7/22/22,4,0.62,0.78,0.91,F,O,46,37,21.3,10,,,ready to molt?
7/22/22,4,1.5,1.15,1.13,M,YO,49,38,26,10,,,
7/22/22,4,0.63,0.85,0.72,F,O,38,30,12.25,10,,,
7/22/22,5,16.32,14.91,19.68,F,BG,41,33,14.3,10,,,
7/22/22,5,6.28,10.91,7.22,M,YG,59,47,49.62,10,,,
7/22/22,5,6.75,7.1,8.5,M,YG,54,43,37.44,10,,,
7/22/22,5,4.69,6.34,11.41,M,YG,52,42,34.21,10,,,
7/22/22,5,2.94,3.84,6.03,M,Y,46,37,22.91,10,,,
7/22/22,5,7.06,4.9,0.87,M,Y,38,30,13.1,10,,,
7/22/22,5,5.22,6.41,7.32,F,O,40,33,14.22,9,,,-1 swimmer
7/22/22,6,0.88,1.03,0.53,M,YG,40,32,14.66,10,,,
7/22/22,6,0.66,0.56,0.69,F,O,40,32,13.2,10,,,
7/22/22,6,1.81,0.91,1.75,M,YG,50,40,28.53,10,,,
7/22/22,6,0.82,1.59,1.13,F,G,40,32,14.55,10,,,
7/22/22,6,0.66,0.66,0.44,M,Y,44,35,19.46,10,,,
7/22/22,6,0.5,0.67,0.87,M,Y,39,31,13.52,10,,,
7/22/22,6,0.53,0.72,0.63,F,O,42,34,16.67,10,,,
7/26/22,1,1.12,0.94,0.94,F,O,43,35,18.16,10,,104,
7/26/22,1,0.69,1,0.78,M,Y,49,39,29.33,10,1,105,
7/26/22,1,1.47,0.85,1,M,Y,46,37,23.71,10,2,106,
7/26/22,1,0.79,0.65,1.09,F,Y,40,31,13.59,10,,107,
7/26/22,1,1.4,2.21,1.79,M,O,47,36,23.45,9,,108,-1 claw
7/26/22,1,1.69,1.93,1.81,M,Y,50,40,51.3,10,,109,
7/26/22,1,1.35,1.69,0.82,F,YO,48,37,20.92,10,3,110,
7/26/22,1,4.66,2.13,1.63,M,Y,44,34,18.37,9,,111,-1 leg
7/26/22,1,0.81,1.07,0.94,F,YG,40,30,14.6,10,,112,
7/26/22,1,1,1.19,1.28,F,YG,40,33,17.41,10,,113,
7/26/22,1,0.94,1.34,1.06,M,YG,40,31,14.06,10,,114,
7/26/22,2,2.1,6.03,7.4,M,Y,48,40,29.78,10,,204,
7/26/22,2,3.63,3.5,2.31,M,Y,46,37,22.28,10,1,205,
7/26/22,2,22.56,8.4,9.25,M,Y,53,42,34.38,8,,206,"-1 leg, -1 swim"
7/26/22,2,8.06,13.16,10.47,M,Y,45,36,20.11,10,2,207,
7/26/22,2,2,2.19,1.65,F,O,42,35,17.15,10,,208,
7/26/22,2,9.47,4.68,6.38,M,G,44,35,19.08,10,,209,
7/26/22,2,3.38,3.4,2.47,M,G,47,36,24.35,10,,210,
7/26/22,2,6.5,8.65,5.87,F,YO,42,35,17.63,10,,211,
7/26/22,2,9.44,11.03,6.57,F,BG,48,40,25.84,8,3,212,-2 swim
7/26/22,2,0.84,9.46,13.19,F,YO,38,31,13.12,8,,213,"-1 leg, -1 swim"
7/26/22,3,91,91,91,M,YO,53,43,36.12,10,1,304,process of dying?
7/26/22,3,0.72,0.83,2.6,M,YO,46,37,21.12,9,2,305,-1 claw
7/26/22,3,2.44,0.94,2.85,F,O,40,31,12.9,10,,306,
7/26/22,3,0.53,0.75,0.81,F,RO,42,33,16.92,10,3,307,
7/26/22,3,91,91,91,F,O,40,30,13.17,10,,308,dying?
7/26/22,4,0.96,2.38,2.96,M,Y,43,33,16.52,10,,404,
7/26/22,4,0.78,1.22,0.72,F,O,36,30,13.19,10,,405,
7/26/22,4,0.68,0.56,0.44,F,YO,37,30,12.33,10,,406,
7/26/22,4,0.84,0.94,0.84,M,Y,45,38,25.97,10,1,407,
7/26/22,4,1.03,1.28,1.22,F,YO,45,36,21.22,10,2,408,
7/26/22,4,1.71,1.5,1.22,M,Y,49,39,26.5,10,3,409,
7/26/22,4,1,1.29,1,M,YO,41,33,16.39,10,,410,
7/26/22,4,0.72,0.91,1.63,M,O,39,32,12.98,9,,411,-1 claw
7/26/22,4,1.03,0.79,0.72,F,Y,36,31,11.17,10,,412,
7/26/22,4,0.87,1.63,2.12,F,O,41,34,15.92,10,,413,
7/26/22,5,5.81,5.44,5.43,M,YG,52,42,33.9,9,1,504,-1 swim
7/26/22,5,1.69,4.62,5.25,M,YG,45,37,22.89,10,2,505,
7/26/22,5,91,91,91,M,YG,43,36,19.14,7,,506,"-2 swim, -1 leg"
7/26/22,5,7,5.75,1.69,M,YG,54,44,36.72,10,,507,
7/26/22,5,5.62,5.31,4.91,M,YG,54,47,49.86,10,,508,
7/26/22,5,4.97,7,8.84,M,YG,39,31,13.07,10,,509,
7/26/22,5,38.48,17.35,10.44,F,YG,41,32,14.38,10,,510,
7/26/22,5,3.35,7,9.38,F,O,39,32,14.38,10,,511,
7/26/22,5,1.6,1.53,1.19,F,Y,44,36,21.13,10,3,512,eggs
7/26/22,5,2.81,3.65,9.62,F,G,39,32,13.59,10,,513,
7/26/22,6,0.62,1.1,0.5,M,YO,41,30,15.66,10,,604,
7/26/22,6,5.13,0.96,1.97,M,Y,50,39,28.22,10,1,605,
7/26/22,6,1.19,0.66,0.66,M,YO,44,35,19.32,10,2,606,
7/26/22,6,0.78,0.85,0.97,F,RO,37,31,13.1,10,,607,
7/26/22,6,1.1,0.97,0.75,F,RO,45,36,17.7,10,3,608,
