date,treatment-tank,carapace-width,carapace-length,weight,integument-color
7/12/2022,2,49,39,25.68,YG
7/12/2022,2,44,35,19,YG
7/12/2022,2,49,41,26.24,G
7/12/2022,2,43,38,24.23,YG
7/12/2022,2,42,35,17.93,Y
7/12/2022,2,42,35,17.63,Y
7/12/2022,2,52,42,35.66,YG
7/12/2022,3,52,42,34.4,Y
7/12/2022,3,51,39,27.23,YO
7/12/2022,3,53,41,35.34,YG
7/12/2022,3,52,41,34.37,YG
7/12/2022,3,44,36,18.92,YO
7/12/2022,3,47,38,21.24,YG
7/12/2022,3,40,32,13.29,O
7/12/2022,4,40,32,16.74,Y
7/12/2022,4,43,34,16.41,Y
7/12/2022,4,44,35,22.17,O
7/12/2022,4,47,38,26.16,YG
7/12/2022,4,50,40,26.35,YG
7/12/2022,4,37,31,11.25,YG
7/12/2022,4,39,32,13.17,O
7/12/2022,5,39,31,13.3,YG
7/12/2022,5,45,36,23.2,Y
7/12/2022,5,51,42,35.09,YG
7/12/2022,5,56,47,50.75,YG
7/12/2022,5,44,37,21.26,Y
7/12/2022,5,51,44,37.96,Y
7/12/2022,5,40,34,16.5,Y
7/12/2022,6,44,35,19.65,Y
7/12/2022,6,44,36,19.01,Y
7/12/2022,6,51,39,28.38,Y
7/12/2022,6,39,31,13.68,YG
7/12/2022,6,41,33,17.34,O
7/12/2022,6,45,36,18.68,YG
7/12/2022,6,44,36,20.52,O
7/15/2022,1,39,32,14.33,YG
7/15/2022,1,51,40,31.82,Y
7/15/2022,1,44,33,18.55,YO
7/15/2022,1,38,29,13.73,O
7/15/2022,1,46,38,23.83,YG
7/15/2022,1,42,35,18.08,O
7/15/2022,1,43,34,17.07,BG
7/15/2022,2,50,41,26.68,BG
7/15/2022,2,50,44,35.08,YG
7/15/2022,2,43,35,17.36,YO
7/15/2022,2,50,39,25.83,YG
7/15/2022,2,42,35,17.97,YO
7/15/2022,2,49,39,30.42,Y
7/15/2022,2,43,34,19.98,G
7/15/2022,3,48,38,21.6,Y
7/15/2022,3,53,42,35.63,Y
7/15/2022,3,51,40,27.38,O
7/15/2022,3,42,35,17.2,O
7/15/2022,3,39,31,13.17,YO
7/15/2022,3,40,31,13.3,O
7/15/2022,3,41,16.9,,O
7/15/2022,4,39,31,13,Y
7/15/2022,4,45,37,21.28,O
7/15/2022,4,42,34,16.38,YG
7/15/2022,4,40,34,16.53,Y
7/15/2022,4,39,31,1.33,YG
7/15/2022,4,49,38,28.05,Y
7/15/2022,4,48,39,29.63,YO
7/15/2022,5,52,41,35.55,YG
7/15/2022,5,55,43,38.48,YG
7/15/2022,5,58,50,49.34,G
7/15/2022,5,42,32,14.53,BG
7/15/2022,5,42,34,16.47,Y
7/15/2022,5,43,35,18.72,Y
7/15/2022,5,44,38,27.61,YO
7/15/2022,6,43,37,18.93,YG
7/15/2022,6,42,36,17.89,O
7/15/2022,6,51,40,28.4,Y
7/15/2022,6,46,36,18.81,YG
7/15/2022,6,44,36,19.57,Y
7/15/2022,6,40,33,14.64,YG
7/15/2022,6,40,32,13.67,Y
7/19/2022,1,42,35,18.06,O
7/19/2022,1,47,38,23.36,Y
7/19/2022,1,43,34,16.97,BG
7/19/2022,1,50,39,29.32,Y
7/19/2022,1,46,37,21.4,YG
7/19/2022,1,46,37,23.58,YG
7/19/2022,1,50,40,31.17,YG
7/19/2022,2,49,39,30.84,Y
7/19/2022,2,48,40,26.28,BG
7/19/2022,2,44,36,20.88,Y
7/19/2022,2,43,35,17.41,YO
7/19/2022,2,47,36,22.46,YG
7/19/2022,2,53,43,35.28,Y
7/19/2022,2,43,34,19.3,BG
7/19/2022,3,52,42,33.83,Y
7/19/2022,3,53,44,35.24,Y
7/19/2022,3,42,36,17.05,O
7/19/2022,3,39,32,13.2,O
7/19/2022,3,39,32,13.11,YO
7/19/2022,3,50,40,27.02,O
7/19/2022,3,46,39,21.15,YG
7/19/2022,4,46,38,21.35,O
7/19/2022,4,50,39,25.59,Y
7/19/2022,4,47,37,25.65,Y
7/19/2022,4,43,33,16.56,Y
7/19/2022,4,40,32,12.76,Y
7/19/2022,4,41,33,16.62,O
7/19/2022,4,37,31,12.25,YO
7/19/2022,5,52,42,32.8,YG
7/19/2022,5,45,37,22.89,YG
7/19/2022,5,58,48,49.46,YG
7/19/2022,5,43,36,18.63,YG
7/19/2022,5,38,31,12.91,YG
7/19/2022,5,39,31,14.45,G
7/19/2022,5,44,38,21.27,YO
7/19/2022,6,44,36,19.66,Y
7/19/2022,6,50,40,28.39,YG
7/19/2022,6,39,32,13.56,YG
7/19/2022,6,44,38,19.07,Y
7/19/2022,6,45,36,18.67,YG
7/19/2022,6,40,34,14.48,YG
7/19/2022,6,44,36,17.8,O
7/22/2022,1,41,31,14.12,G
7/22/2022,1,48,39,23.63,G
7/22/2022,1,51,40,31.59,YG
7/22/2022,1,40,31,13.46,Y
7/22/2022,1,46,37,21.43,YO
7/22/2022,1,43,34,17.13,BG
7/22/2022,1,44,34,18.48,Y
7/22/2022,2,44,36,20.2,Y
7/22/2022,2,38,31,12.56,YG
7/22/2022,2,48,40,29.44,Y
7/22/2022,2,51,42,35.03,Y
7/22/2022,2,49,41,26.23,BG
7/22/2022,2,43,35,18.03,YO
7/22/2022,2,48,38,24.48,YG
7/22/2022,3,53,42,35.37,Y
7/22/2022,3,50,40,27.48,O
7/22/2022,3,47,39,21.1,YG
7/22/2022,3,40,31,13.29,O
7/22/2022,3,40,31,12.93,YO
7/22/2022,3,43,35,17.11,O
7/22/2022,4,42,33,16.23,O
7/22/2022,4,41,33,16.5,Y
7/22/2022,4,43,34,16.57,Y
7/22/2022,4,47,40,25.81,YG
7/22/2022,4,46,37,21.3,O
7/22/2022,4,49,38,26,YO
7/22/2022,4,38,30,12.25,O
7/22/2022,5,41,33,14.3,BG
7/22/2022,5,59,47,49.62,YG
7/22/2022,5,54,43,37.44,YG
7/22/2022,5,52,42,34.21,YG
7/22/2022,5,46,37,22.91,Y
7/22/2022,5,38,30,13.1,Y
7/22/2022,5,40,33,14.22,O
7/22/2022,6,40,32,14.66,YG
7/22/2022,6,40,32,13.2,O
7/22/2022,6,50,40,28.53,YG
7/22/2022,6,40,32,14.55,G
7/22/2022,6,44,35,19.46,Y
7/22/2022,6,39,31,13.52,Y
7/22/2022,6,42,34,16.67,O
7/26/2022,1,43,35,18.16,O
7/26/2022,1,49,39,29.33,Y
7/26/2022,1,46,37,23.71,Y
7/26/2022,1,40,31,13.59,Y
7/26/2022,1,47,36,23.45,O
7/26/2022,1,50,40,51.3,Y
7/26/2022,1,48,37,20.92,YO
7/26/2022,1,44,34,18.37,Y
7/26/2022,1,40,30,14.6,YG
7/26/2022,1,40,33,17.41,YG
7/26/2022,1,40,31,14.06,YG
7/26/2022,2,48,40,29.78,Y
7/26/2022,2,46,37,22.28,Y
7/26/2022,2,53,42,34.38,Y
7/26/2022,2,45,36,20.11,Y
7/26/2022,2,42,35,17.15,O
7/26/2022,2,44,35,19.08,G
7/26/2022,2,47,36,24.35,G
7/26/2022,2,42,35,17.63,YO
7/26/2022,2,48,40,25.84,BG
7/26/2022,2,38,31,13.12,YO
7/26/2022,3,53,43,36.12,YO
7/26/2022,3,46,37,21.12,YO
7/26/2022,3,40,31,12.9,O
7/26/2022,3,42,33,16.92,RO
7/26/2022,3,40,30,13.17,O
7/26/2022,4,43,33,16.52,Y
7/26/2022,4,36,30,13.19,O
7/26/2022,4,37,30,12.33,YO
7/26/2022,4,45,38,25.97,Y
7/26/2022,4,45,36,21.22,YO
7/26/2022,4,49,39,26.5,Y
7/26/2022,4,41,33,16.39,YO
7/26/2022,4,39,32,12.98,O
7/26/2022,4,36,31,11.17,Y
7/26/2022,4,41,34,15.92,O
7/26/2022,5,52,42,33.9,YG
7/26/2022,5,45,37,22.89,YG
7/26/2022,5,43,36,19.14,YG
7/26/2022,5,54,44,36.72,YG
7/26/2022,5,54,47,49.86,YG
7/26/2022,5,39,31,13.07,YG
7/26/2022,5,41,32,14.38,YG
7/26/2022,5,39,32,14.38,O
7/26/2022,5,44,36,21.13,Y
7/26/2022,5,39,32,13.59,G
7/26/2022,6,41,30,15.66,YO
7/26/2022,6,50,39,28.22,Y
7/26/2022,6,44,35,19.32,YO
7/26/2022,6,37,31,13.1,RO
7/26/2022,6,45,36,17.7,RO
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
