date,treatment-tank,integument-color
7/26/2022,1,Y
7/26/2022,1,YO
7/26/2022,1,Y
7/26/2022,1,YG
7/26/2022,1,YG
7/26/2022,1,YG
7/26/2022,2,Y
7/26/2022,2,Y
7/26/2022,2,Y
7/26/2022,2,Y
7/26/2022,2,O
7/26/2022,2,G
7/26/2022,2,G
7/26/2022,2,YO
7/26/2022,2,BG
7/26/2022,2,YO
7/26/2022,3,YO
7/26/2022,3,YO
7/26/2022,3,O
7/26/2022,3,RO
7/26/2022,3,O
7/26/2022,4,Y
7/26/2022,4,O
7/26/2022,4,YO
7/26/2022,4,Y
7/26/2022,4,YO
7/26/2022,4,Y
7/26/2022,4,YO
7/26/2022,4,O
7/26/2022,4,Y
7/26/2022,4,O
7/26/2022,5,YG
7/26/2022,5,YG
7/26/2022,5,YG
7/26/2022,5,YG
7/26/2022,5,YG
7/26/2022,5,YG
7/26/2022,5,YG
7/26/2022,5,O
7/26/2022,5,Y
7/26/2022,5,G
7/26/2022,6,YO
7/26/2022,6,Y
7/26/2022,6,YO
7/26/2022,6,RO
7/26/2022,6,RO
