date,treatment-tank,carapace-width,Average per tank,standardized values,Average for each tank
7/19/2022,1,46,,0.155467771,
7/19/2022,1,46,,0.155467771,
7/19/2022,1,50,,0.998002786,
7/19/2022,2,49,46.71428571,0.787369032,0.305920452
7/19/2022,2,48,,0.576735278,
7/19/2022,2,44,,-0.265799737,
7/19/2022,2,43,,-0.476433491,
7/19/2022,2,47,,0.366101524,
7/19/2022,2,53,,1.629904047,
7/19/2022,2,43,,-0.476433491,
7/19/2022,3,52,45.85714286,1.419270293,0.125377234
7/19/2022,3,53,,1.629904047,
7/19/2022,3,42,,-0.687067244,
7/19/2022,3,39,,-1.318968505,
7/19/2022,3,39,,-1.318968505,
7/19/2022,3,50,,0.998002786,
7/19/2022,3,46,,0.155467771,
7/19/2022,4,46,43.42857143,0.155467771,-0.386161882
7/19/2022,4,50,,0.998002786,
7/19/2022,4,47,,0.366101524,
7/19/2022,4,43,,-0.476433491,
7/19/2022,4,40,,-1.108334752,
7/19/2022,4,41,,-0.897700998,
7/19/2022,4,37,,-1.740236013,
7/19/2022,5,52,45.57142857,1.419270293,0.065196162
7/19/2022,5,45,,-0.055165983,
7/19/2022,5,58,,2.683072815,
7/19/2022,5,43,,-0.476433491,
7/19/2022,5,38,,-1.529602259,
7/19/2022,5,39,,-1.318968505,
7/19/2022,5,44,,-0.265799737,
7/19/2022,6,44,43.71428571,-0.265799737,-0.325980809
7/19/2022,6,50,,0.998002786,
7/19/2022,6,39,,-1.318968505,
7/19/2022,6,44,,-0.265799737,
7/19/2022,6,45,,-0.055165983,
7/19/2022,6,40,,-1.108334752,
7/19/2022,6,44,,-0.265799737,
7/22/2022,1,41,44.71428571,-0.756897715,-0.022727593
7/22/2022,1,48,,0.626730592,
7/22/2022,1,51,,1.219714152,
7/22/2022,1,40,,-0.954558902,
7/22/2022,1,46,,0.231408219,
7/22/2022,1,43,,-0.361575342,
7/22/2022,1,44,,-0.163914155,
7/22/2022,2,44,45.85714286,-0.163914155,0.203170906
7/22/2022,2,38,,-1.349881275,
7/22/2022,2,48,,0.626730592,
7/22/2022,2,51,,1.219714152,
7/22/2022,2,49,,0.824391779,
7/22/2022,2,43,,-0.361575342,
7/22/2022,2,48,,0.626730592,
7/22/2022,3,53,45.5,1.615036526,0.033747032
7/22/2022,3,50,,1.022052965,
7/22/2022,3,47,,0.429069405,
7/22/2022,3,40,,-0.954558902,
7/22/2022,3,40,,-0.954558902,
7/22/2022,3,43,,-0.361575342,
7/22/2022,4,42,43.71428571,-0.559236528,-0.22038878
7/22/2022,4,41,,-0.756897715,
7/22/2022,4,43,,-0.361575342,
7/22/2022,4,47,,0.429069405,
7/22/2022,4,46,,0.231408219,
7/22/2022,4,49,,0.824391779,
7/22/2022,4,38,,-1.349881275,
7/22/2022,5,41,47.14285714,-0.756897715,0.457306718
7/22/2022,5,59,,2.801003646,
7/22/2022,5,54,,1.812697712,
7/22/2022,5,52,,1.417375339,
7/22/2022,5,46,,0.231408219,
7/22/2022,5,38,,-1.349881275,
7/22/2022,5,40,,-0.954558902,
7/22/2022,6,40,42.14285714,-0.954558902,-0.530999216
7/22/2022,6,40,,-0.954558902,
7/22/2022,6,50,,1.022052965,
7/22/2022,6,40,,-0.954558902,
7/22/2022,6,44,,-0.163914155,
7/22/2022,6,39,,-1.152220088,
7/22/2022,6,42,,-0.559236528,
7/26/2022,1,43,44.27272727,-0.193027873,0.073552207
7/26/2022,1,49,,1.063706789,
7/26/2022,1,46,,0.435339458,
7/26/2022,1,40,,-0.821395204,
7/26/2022,1,47,,0.644795235,
7/26/2022,1,50,,1.273162566,
7/26/2022,1,48,,0.854251012,
7/26/2022,1,44,,0.016427904,
7/26/2022,1,40,,-0.821395204,
7/26/2022,1,40,,-0.821395204,
7/26/2022,1,40,,-0.821395204,
7/26/2022,2,48,45.3,0.854251012,0.288720414
7/26/2022,2,46,,0.435339458,
7/26/2022,2,53,,1.901529897,
7/26/2022,2,45,,0.225883681,
7/26/2022,2,42,,-0.40248365,
7/26/2022,2,44,,0.016427904,
7/26/2022,2,47,,0.644795235,
7/26/2022,2,42,,-0.40248365,
7/26/2022,2,48,,0.854251012,
7/26/2022,2,38,,-1.240306758,
7/26/2022,3,53,44.2,1.901529897,0.058319059
7/26/2022,3,46,,0.435339458,
7/26/2022,3,40,,-0.821395204,
7/26/2022,3,42,,-0.40248365,
7/26/2022,3,40,,-0.821395204,
7/26/2022,4,43,41.2,-0.193027873,-0.570048272
7/26/2022,4,36,,-1.659218312,
7/26/2022,4,37,,-1.449762535,
7/26/2022,4,45,,0.225883681,
7/26/2022,4,45,,0.225883681,
7/26/2022,4,49,,1.063706789,
7/26/2022,4,41,,-0.611939427,
7/26/2022,4,39,,-1.030850981,
7/26/2022,4,36,,-1.659218312,
7/26/2022,4,41,,-0.611939427,
7/26/2022,5,52,45,1.69207412,0.225883681
7/26/2022,5,45,,0.225883681,
7/26/2022,5,43,,-0.193027873,
7/26/2022,5,54,,2.110985674,
7/26/2022,5,54,,2.110985674,
7/26/2022,5,39,,-1.030850981,
7/26/2022,5,41,,-0.611939427,
7/26/2022,5,39,,-1.030850981,
7/26/2022,5,44,,0.016427904,
7/26/2022,5,39,,-1.030850981,
7/26/2022,6,41,43.4,-0.611939427,-0.109245562
7/26/2022,6,50,,1.273162566,
7/26/2022,6,44,,0.016427904,
7/26/2022,6,37,,-1.449762535,
7/26/2022,6,45,,0.225883681,
