date,treatment-tank,carapace-length,Average per tank,standardized values,Average SD value per tank
7/26/2022,4,39,,0.908158172,
7/26/2022,4,33,,-0.562193154,
7/26/2022,4,32,,-0.807251709,
7/26/2022,4,31,,-1.052310263,
7/26/2022,4,34,,-0.3171346,
7/26/2022,5,42,36.9,1.643333835,0.393535208
7/26/2022,5,37,,0.418041063,
7/26/2022,5,36,,0.172982509,
7/26/2022,5,44,,2.133450944,
7/26/2022,5,47,,2.868626607,
7/26/2022,5,31,,-1.052310263,
7/26/2022,5,32,,-0.807251709,
7/26/2022,5,32,,-0.807251709,
7/26/2022,5,36,,0.172982509,
7/26/2022,5,32,,-0.807251709,
7/26/2022,6,30,34.2,-1.297368817,-0.268122889
7/26/2022,6,39,,0.908158172,
7/26/2022,6,35,,-0.072076045,
7/26/2022,6,31,,-1.052310263,
7/26/2022,6,36,,0.172982509,
